["2024-08-15T18:58:49.276", "DEBUG", "ubuntupro.config", "parse_config", 491, "Using client configuration file at /etc/ubuntu-advantage/uaclient.conf", {}]
["2024-08-15T18:58:49.281", "DEBUG", "ubuntupro.system", "load_file", 522, "Reading file: /etc/ubuntu-advantage/uaclient.conf", {}]
["2024-08-15T18:58:49.282", "DEBUG", "ubuntupro.files.files", "read", 67, "Tried to load /var/lib/ubuntu-advantage/user-config.json but file does not exist", {}]
["2024-08-15T18:58:49.290", "DEBUG", "ubuntupro.http", "configure_web_proxy", 146, "Setting no_proxy: 169.254.169.254,[fd00:ec2::254],metadata", {}]
["2024-08-15T18:58:49.290", "DEBUG", "ubuntupro.http", "configure_web_proxy", 154, "Setting global proxy dict", {}]
["2024-08-15T18:58:49.290", "DEBUG", "ubuntupro.cli", "main", 1428, "Executed with sys.argv: ['/usr/bin/pro', 'security-status', '--format=json']", {}]
["2024-08-15T18:58:49.291", "DEBUG", "ubuntupro.files.files", "read", 67, "Tried to load /var/lib/ubuntu-advantage/machine-token.json but file does not exist", {}]
["2024-08-15T18:58:49.772", "DEBUG", "ubuntupro.system", "load_file", 522, "Reading file: /etc/os-release", {}]
["2024-08-15T18:58:49.791", "DEBUG", "ubuntupro.system", "load_file", 522, "Reading file: /var/run/reboot-required.pkgs", {}]
["2024-08-15T18:58:49.792", "DEBUG", "ubuntupro.system", "load_file", 522, "Reading file: /var/run/reboot-required.pkgs", {}]
["2024-08-15T18:58:49.792", "DEBUG", "ubuntupro.livepatch", "status", 126, "canonical-livepatch is not installed", {}]
["2024-08-15T18:58:49.793", "DEBUG", "ubuntupro.livepatch", "status", 126, "canonical-livepatch is not installed", {}]
["2024-08-15T18:58:49.793", "DEBUG", "ubuntupro.system", "load_file", 522, "Reading file: /proc/version_signature", {}]
["2024-08-15T18:58:49.796", "WARNING", "ubuntupro.system", "_get_kernel_build_date", 131, "Unable to parse build date from uname version", {}]
["2024-08-15T18:58:49.802", "WARNING", "ubuntupro.system", "_get_kernel_changelog_timestamp", 104, "Falling back to using timestamp of kernel changelog", {}]
